"GSS_CODEDZ","DZ_Name","GSS_CODECA","CA_Name","GSS_CODEIZ","MYD02SSH_A20170910Av1_v601_7200_3601_uvb__8b.edit"
"S01001950",NA,"S12000036","Edinburgh_City_of","S02000359",0.0028450277790711
"S01001951",NA,"S12000036","Edinburgh_City_of","S02000364",0.00568665737357531
"S01001952",NA,"S12000036","Edinburgh_City_of","S02000361",0.00568665737357531
"S01001953",NA,"S12000036","Edinburgh_City_of","S02000360",0.0028450277790711
"S01001954",NA,"S12000036","Edinburgh_City_of","S02000363",0.0027772829403622
"S01001955",NA,"S12000036","Edinburgh_City_of","S02000367",0.00385304511490744
"S01001956",NA,"S12000036","Edinburgh_City_of","S02000362",0.00286543349652627
"S01001957",NA,"S12000036","Edinburgh_City_of","S02000354",0.00286543349652627
"S01001958",NA,"S12000036","Edinburgh_City_of","S02000364",0.00568665737357531
"S01001959",NA,"S12000036","Edinburgh_City_of","S02000369",0.00390030186970565
"S01001960",NA,"S12000036","Edinburgh_City_of","S02000370",0.00568665737357531
"S01001961",NA,"S12000036","Edinburgh_City_of","S02000365",0.0028450277790711
"S01001962",NA,"S12000036","Edinburgh_City_of","S02000368",0.00286543349652627
"S01001963",NA,"S12000036","Edinburgh_City_of","S02000359",0.0028450277790711
"S01001964",NA,"S12000036","Edinburgh_City_of","S02000363",0.0027772829403622
"S01001965",NA,"S12000036","Edinburgh_City_of","S02000367",0.00385304511490744
"S01001966",NA,"S12000036","Edinburgh_City_of","S02000354",0.00286543349652627
"S01001967",NA,"S12000036","Edinburgh_City_of","S02000366",0.00385304511490744
"S01001968",NA,"S12000036","Edinburgh_City_of","S02000365",0.0028450277790711
"S01001969",NA,"S12000036","Edinburgh_City_of","S02000359",0.0028450277790711
"S01001970",NA,"S12000036","Edinburgh_City_of","S02000361",0.00568665737357531
"S01001971",NA,"S12000036","Edinburgh_City_of","S02000367",0.00385304511490744
"S01001972",NA,"S12000036","Edinburgh_City_of","S02000365",0.0028450277790711
